IPC_A,IPC_B,Co-occurrence
A61K,A61P,3987629
A61K,C07D,1709966
A61P,C07D,1358374
A61K,C07K,1060547
C08K,C08L,1020124
A61K,C12N,943521
G06F,H04L,870541
G06F,G06Q,859413
H04L,H04W,823549
C07K,C12N,792653
A61K,A61Q,773317
A61P,C07K,664118
A61P,C12N,582429
C07C,C07D,564780
C08J,C08L,547364
C12N,C12P,540885
F21S,F21V,522054
A61K,C07C,497092
C12N,C12Q,486255
H04B,H04L,480903
H04B,H04W,470216
B01J,C07C,449183
G06F,H04N,437721
G06T,H04N,433914
C12Q,G01N,431931
C08G,C08L,422174
F21V,F21Y,409144
G06F,G06N,405635
C12N,C12R,396252
B29C,B29L,384332
C12N,G01N,375422
A61K,G01N,374438
C07K,G01N,363942
G06F,G06T,348727
B01D,B01J,343707
G06F,G06K,334266
C07K,C12P,329979
A61P,C07C,320125
B01D,C02F,316194
A61K,C12P,314813
C07B,C07C,312980
C08F,C08L,310166
C08J,C08K,309330
A01N,A01P,305335
G03B,H04N,295908
A23L,A61K,278502
A61B,A61M,277811
H01L,H05K,277685
G02B,G02F,274534
A01N,C07D,266294
F21S,F21Y,264224
G03F,H01L,263259
A61K,C07H,261658
C12P,C12R,255414
A61B,A61F,254372
G02B,H04N,252935
H01L,H10B,251233
B01J,C07B,244455
B29C,B32B,240506
B29C,B29K,239743
C23C,H01L,235791
A61K,C12Q,235791
H04M,H04W,230277
B29C,B29D,224318
G06F,H04M,223891
H04L,H04N,223884
G02B,G03B,223027
H04B,H04J,221710
B01J,C01B,221379
A61P,G01N,220005
C08G,C09D,215873
H04J,H04L,215400
H04L,H04Q,212074
A61P,C12P,209082
C08L,C09D,208903
G06Q,H04L,207543
H04L,H04M,207242
G06K,G06T,206421
C07K,C12Q,205208
C08G,C08J,204421
G06T,G06V,204154
C08G,C08K,202958
C07H,C12N,197722
C21D,C22C,195858
H04Q,H04W,195443
G11B,H04N,194279
H04M,H04Q,186039
A01N,A61K,183971
F28D,F28F,181262
B29C,C08J,180537
E04B,E04C,180464
B29B,B29C,180372
G06F,H04W,180187
G06F,G09G,179467
B32B,C08J,177953
A61F,A61L,177370
C07D,C07F,176014
G06N,G06V,175925
F21V,F21W,173372
H01L,H10N,172396
A61B,G01N,171035
A23L,A61P,169447
A61P,C07H,169194
B41J,H04N,166790
B32B,C08L,164619
B23B,B23Q,163690
C08F,C08G,162852
H01L,H05B,162330
A61F,A61M,161744
A61K,C12R,161577
G06K,H04N,160763
G06N,G06Q,159846
G06K,G06Q,159642
B29C,C08L,159298
C08F,C08J,158986
A61K,C07F,157634
G09G,H04N,156217
G02F,H01L,155117
A61K,A61L,154472
A01H,C12N,153647
G02F,G09F,153138
H04B,H04M,151658
F02D,F02M,151426
C08F,C09D,150771
F21S,F21W,149639
A61P,A61Q,147312
G06N,G06T,147095
G02F,G09G,146932
A61P,C12Q,146738
H04B,H04Q,145796
E04B,E04H,144062
B60K,F16H,142423
A61B,A61N,140904
C08F,C08K,140285
B01J,C02F,139793
G06F,G11C,139102
B41J,G06F,138945
C07C,C07F,138562
B29K,B29L,138477
G01B,G01N,138333
C07K,C12R,138067
H01M,H02J,137769
C12P,G01N,137399
A01N,C07C,136089
B60K,B60W,133232
B32B,B65D,133163
B01J,C10G,132234
G11C,H01L,131232
G06K,G06N,129989
C07B,C07D,129857
B01D,C01B,129363
C08K,C09D,128581
H01R,H05K,128509
C12P,C12Q,128231
C08L,C09K,128022
C10M,C10N,126635
B01L,G01N,125901
C07H,C12P,124526
H01L,H04N,124406
C07H,C07K,124146
H04J,H04W,123334
F02B,F02M,122507
A61P,C12R,121363
G02B,H01L,120834
G05B,G06F,120684
B41J,G03G,117418
B22F,C22C,117319
F27B,F27D,116744
A61B,G06T,116360
C08L,C09J,116314
B29C,B33Y,114990
F02B,F02D,114647
B60R,B62D,114176
G06F,G06V,113965
H01J,H01L,113224
B32B,C09J,112982
C07H,C12Q,112773
A61P,C07F,111514
C09K,H01L,110187
G06F,G11B,109624
B01J,C07D,109105
E04B,E04F,108436
G06F,G10L,107052
H02J,H02M,106849
C07D,C09K,106741
H04M,H04N,106549
B05D,C09D,106083
B65B,B65D,104654
C08K,C09K,104377
C08J,C09D,104057
G06F,H05K,103992
G01C,G08G,103816
B01D,G01N,103281
G01R,H01L,103002
G03G,H04N,101875
B60L,H02J,101522
B60K,B60L,101096
B65H,G03G,100772
C22C,C22F,100592
G06F,H04B,98123
B01D,F01N,98035
C08G,C09J,97435
H04B,H04N,96901
B29C,B65D,96767
G01M,G01N,96054
C30B,H01L,95745
B41J,B41M,94850
F01D,F02C,94752
A61B,G16H,94747
F21W,F21Y,94601
G01C,G01S,94307
A61K,A61M,93545
G01R,G06F,93459
G06Q,H04W,92784
C07C,C09K,92655
B29C,C08K,92599
C12M,G01N,92568
C01B,H01M,92291
G06F,H01L,92063
B01J,C08F,91798
C12M,C12N,91611
A61B,G02B,91450
C07C,C08G,91172
F21V,G02B,90045
A01N,C12N,88934
A61B,G06F,88240
B64C,B64D,87706
C22C,C23C,87668
F16D,F16H,87642
B32B,C08K,87589
F24F,F25B,87534
G09F,H01L,87404
B01D,C07C,86951
B01D,B08B,86265
G06F,H03M,85745
H03M,H04L,85614
G11C,H10B,84949
B26D,B26F,84454
E04B,E04G,84431
B05C,B05D,84335
H01Q,H04B,84089
G01J,G01N,84050
C08L,H01B,83060
A61K,C08L,82294
A01C,A01G,81914
A23L,A23P,81889
G06Q,G07F,81401
G01B,G01D,81054
C08G,C09K,80696
G01N,G01R,80628
C12M,C12Q,80099
H01R,H02G,79992
B41M,C09D,79923
B32B,C09D,79804
B60K,B62D,79396
G06F,H03K,79305
C07C,C08F,78693
G06F,G16H,78568
A01N,A61P,78385
B60L,H01M,78361
B32B,H05K,77719
G01R,H02J,76816
A23B,A23L,76269
A61K,C07J,76213
A23K,A61K,76109
B65B,B65G,75889
G06Q,H04N,75453
B05D,B32B,75195
D01D,D01F,75106
G02B,H01S,75100
B01J,G01N,74930
C03B,C03C,74388
A23L,C12N,74209
B60K,B60R,73878
B32B,G02B,73586
B24B,H01L,73360
B41J,G06K,73358
G02B,G03F,73351
A61K,C11D,73276
G06F,H04Q,73161
B41J,B65H,73063
F21K,F21V,72954
C08F,C09J,72854
C09K,G02F,72759
G06T,G09G,72701
A01K,C12N,72687
H01L,H01S,72386
C07H,G01N,72115
G01S,H04W,71982
A61F,A61K,71497
A23C,A23L,71412
C09D,C09K,71330
B60N,B60R,71139
A61B,A61L,70811
C07D,C07K,70546
H03M,H04N,70525
A61K,B01J,69847
C08F,G03F,69700
G01N,G06T,69561
H04H,H04N,69371
H04J,H04Q,69346
B60L,B60W,69120
B01D,B01F,69098
C12Q,C12R,68690
A47C,B60N,67904
G09F,G09G,67806
B23D,B23Q,67651
B32B,C08G,67466
G01N,G06F,67465
B01F,B01J,67415
C08L,H01L,67405
A23G,A23L,67400
G01N,H01L,67369
C08F,C09K,67342
G06F,H02J,67237
G01N,G02B,67231
G06Q,G06T,67226
G01N,H01J,67213
C09D,C09J,67110
A61B,G01R,67013
C09K,H10K,66787
C08K,H01B,66756
E05B,E05C,66552
G06F,G07F,66462
G02B,G09F,66225
C07C,C10G,65736
F21V,H05B,65087
A63F,G06F,64944
A61J,A61M,64247
C07D,C07H,64188
F25B,F25D,63902
G06K,H04L,63749
B29C,F16L,63685
B01J,C07F,62955
B23K,H01L,62929
C08G,H01L,62848
B01F,C02F,62666
C07D,C08G,62636
H01G,H01M,62514
H02H,H02J,62514
A61L,A61M,62477
G09G,H01L,62129
B29K,C08J,61949
C07F,C09K,61808
C09K,E21B,61776
A61Q,C11D,61717
C23C,H01J,61668
B32B,C23C,61620
E05D,E06B,61470
F02B,F02F,61465
H01L,H03K,61317
G05B,G05D,61209
H02M,H02P,61133
B60W,G08G,60965
C09B,D06P,60940
F24C,H05B,60896
G06F,G09B,60373
B65D,B65G,60189
B22D,C22C,60174
A01P,C07D,60114
G06V,H04N,60096
G08B,H04N,59831
B60K,F02D,59823
G06K,G06V,59715
F21V,G02F,59373
G02F,H04N,59266
A61K,C08B,59256
B41J,C09D,59066
B60C,C08L,58577
B28B,C04B,58480
F21K,F21Y,58104
F01N,F02D,57832
B05B,B65D,57830
A61K,C08G,57725
G01B,G06T,57680
C12R,G01N,57602
B05B,B05D,57531
B08B,F26B,57436
A61F,A61H,57400
A23K,A23L,57326
H02K,H02P,57281
G01B,G01C,57156
B60G,F16F,57147
C03C,G02B,56736
B60W,F02D,56700
B23K,H05K,56296
B29B,C08J,56045
B32B,C03C,55991
E05F,E06B,55969
G01R,H01M,55963
A61L,A61P,55723
B22F,B33Y,55589
G01C,G06F,55391
G01S,H04B,55376
B60Q,B60R,55257
A01N,C07F,55126
A61M,A61N,55123
H01L,H10K,55065
B01D,F24F,55035
B60J,B60R,54816
C01G,H01M,54670
B60W,F16H,54628
G06Q,H02J,54101
C08K,C09J,54097
B01J,C08G,54097
B32B,H01L,54039
G06N,H04L,54038
A61B,H04N,53547
A61J,B65D,53433
H01B,H02G,53431
A61L,B01D,53364
E04B,E04D,53354
C07D,G01N,53323
C08J,C09K,53165
A61K,C07B,53127
H01B,H05K,53030
F16L,H02G,52671
G11C,H03K,52671
G02B,H04B,52527
B22C,B22D,52516
B32B,D04H,52349
B42D,G06K,52343
C22C,H01F,52254
B60T,F16D,52236
F24J,F24S,52180
A61H,A61N,52044
B05D,C23C,52024
G02B,G06F,51967
A61K,C09K,51898
H04N,H04W,51636
F15B,F16K,51570
A61P,C07J,51493
C23C,C25D,51410
B29L,B32B,51341
B21C,B21D,51341
C21D,C23C,51285
G03B,G03G,51267
A01K,A61K,51231
A23L,A61Q,51118
B29D,B32B,50811
C07D,C09B,50745
G01C,G09B,50724
A61F,A61N,50695
G09F,H05B,50595
C01B,C01G,50534
B23K,C22C,50451
E02B,E02D,50401
C07F,C08G,50365
A01H,C07K,50341
B05B,B05C,50219
G06Q,H04M,50139
G05F,H02M,50117
G02B,G02C,50104
C07D,H10K,50060
H01B,H01R,50006
C01B,C07C,49956
G01R,H02H,49935
F16K,G05D,49749
B01J,F01N,49649
C08J,C09J,49565
G06F,G09F,49508
G09F,H05K,49503
C07C,C07K,49428
E05D,E05F,49272
B29K,B32B,49254
G06Q,G06V,49254
B60K,F16D,49215
B60R,G08G,48735
A61B,A61K,48397
G06K,H04B,48270
C01B,C04B,48019
F16M,H04N,47956
A21D,A23L,47950
B65G,B65H,47947
F21L,F21V,47864
G03C,G03F,47832
C08F,G02B,47810
G01S,G08G,47806
B23P,B23Q,47411
F16K,F16L,47327
B32B,E04F,47257
G06K,G07F,47253
A61B,A61G,47248
C07F,C08F,47242
H01B,H01L,47224
C07D,C12N,47189
A23K,A61P,47020
B65G,H01L,47015
B01J,C08J,46819
G05B,G06Q,46799
B01J,C01G,46786
B60C,C08K,46706
G01D,G01R,46593
B02C,B07B,46560
G06Q,G16H,46499
H02M,H03K,46134
G02F,G06F,45938
A61L,C08L,45810
B62J,B62K,45809
C08K,H01L,45543
B29C,C08G,45445
F16F,F16M,45435
F01N,F02B,45384
B32B,C08F,45326
A61K,C08F,45265
C08L,G02B,45199
B29D,B29L,45133
B23Q,G05B,45112
B08B,H01L,45108
C04B,C09K,45070
A61H,A61M,44993
A23J,A23L,44674
B29C,G02B,44635
B29K,C08L,44625
F24D,F24H,44542
G01F,G01N,44496
A47G,B65D,44488
B60P,B62D,44235
A47J,B65D,44141
C07D,C12P,43983
F24S,H02S,43895
A01N,A61L,43780
B32B,E04B,43754
C07B,C07F,43725
A01K,C07K,43679
G01B,G01M,43676
H03H,H04B,43571
H05B,H10K,43503
B63B,B63H,43422
G06Q,G07C,43416
C07H,C12R,43410
A23L,C12P,43377
F21S,H05B,43356
H02M,H05K,43327
B65D,C08L,43292
A61Q,C07C,43274
B60R,H04N,43250
E04B,F16B,43092
C09B,C09D,43076
F21V,H01L,43072
B31B,B65D,42880
G01S,G06F,42860
B60R,B60W,42748
B29B,B29K,42616
C08L,H05K,42581
B21B,C21D,42511
C23F,H01L,42506
C09C,C09D,42463
A61J,A61K,42417
C23C,C30B,42384
G06F,G07C,42316
C09J,H01L,42086
F02D,F02P,42076
B01J,C04B,42045
G08B,H04W,42011
C03B,G02B,41899
G06F,G08B,41826
A61M,B01D,41756
F04B,F04C,41612
A01B,A01C,41612
H03M,H04B,41483
H02N,H10N,41474
H03K,H04L,41400
B29B,C08L,41398
B01J,C09K,41265
C08L,D01F,41232
B60K,B60T,41231
B23C,B23Q,41117
F01D,F04D,41069
C07D,C08K,40978
B60Q,F21V,40963
B01D,C10G,40871
B60Q,F21S,40843
H02H,H02M,40819
F16H,H02K,40762
C03C,C04B,40728
A61Q,C08L,40600
G01B,G02B,40544
E04B,E06B,40538
G09C,H04L,40512
B32B,E04C,40500
G01D,G01N,40467
B01J,H01M,40462
G01B,H01L,40255
B29D,B29K,40210
C04B,H01B,39989
A47J,F24C,39956
B32B,C04B,39913
B60G,B62D,39809
A61B,A61C,39720
G06K,G07C,39627
G01L,G01M,39446
C09K,H05B,39365
G02F,H01S,39299
A63F,G07F,39200
G09F,H04N,39167
E04C,E04G,39155
F16B,F16L,39086
G02B,G06T,38855
B21D,B30B,38843
B65B,B65H,38831
B32B,F16L,38787
G09G,H05B,38759
C08J,G02B,38699
E21B,G01V,38697
C04B,C23C,38693
F02F,F16J,38643
H04B,H04H,38462
C07C,C08L,38457
A61L,C12N,38452
B29C,B65B,38452
A45D,B65D,38442
C23C,C23F,38436
B41F,B65H,38401
B05D,C08J,38397
B23Q,B24B,38335
A01D,A01F,38324
G06N,G16H,38224
