id	x	y	cluster	weight<Links>	weight<Total link strength>
A01B	0.1331	0.3283	3	571	249487
A01C	0.5647	0.1851	3	555	336554
A01D	0.1972	0.2668	3	557	221413
A01F	0.511	0.1722	3	499	119441
A01G	0.3828	0.0977	3	624	806651
A01H	1.395	-0.2118	3	425	382750
A01J	0.8072	-0.067	3	440	40235
A01K	0.276	-0.2126	8	626	729507
A01L	0.4046	-0.3682	8	224	3084
A01M	0.0871	0.0777	3	596	308910
A01N	1.0107	-0.1283	3	602	1841877
A01P	1.188	-0.1257	3	457	631914
A21B	0.9408	0.178	7	429	57390
A21C	1.1273	-0.0513	3	435	82352
A21D	1.4734	-0.1436	3	404	180882
A22B	0.6453	-0.2086	3	339	21675
A22C	0.837	-0.2087	3	485	112311
A23B	1.1459	-0.0721	3	519	225125
A23C	1.4185	-0.1514	3	446	281890
A23D	1.5821	-0.1792	3	286	162609
A23F	1.3019	-0.0987	3	402	125950
A23G	1.2886	-0.1284	3	512	296299
A23J	1.5237	-0.2143	3	343	173661
A23K	1.3561	-0.169	3	453	472149
A23L	1.2221	-0.1205	3	599	1838570
A23N	0.9623	0.0257	3	456	149980
A23P	1.3208	-0.1311	3	454	219990
A24B	0.9598	-0.3199	2	442	93301
A24C	0.6592	-0.424	2	387	54652
A24D	0.7833	-0.4145	2	396	86417
A24F	0.4514	-0.2643	2	496	123432
A41B	0.1372	-0.8524	2	424	109547
A41C	0.0949	-0.9514	2	285	31323
A41D	0.0103	-0.6379	2	572	361758
A41F	-0.1102	-0.8503	2	369	41318
A41G	0.1629	-0.656	2	385	22792
A41H	0.0371	-0.7884	2	398	64578
A42B	-0.3107	-0.6224	2	461	85941
A42C	-0.2369	-0.8554	2	248	12574
A43B	-0.0608	-0.6952	2	522	184224
A43C	-0.1399	-0.8768	2	338	40956
A43D	0.0603	-0.7046	2	426	50336
A44B	-0.1578	-0.5703	2	541	147899
A44C	-0.3997	-0.4343	1	509	91422
A45B	-0.4718	-0.2645	6	442	35414
A45C	-0.3939	-0.4076	6	547	206025
A45D	0.1505	-0.4225	2	557	266388
A45F	-0.4071	-0.3593	6	465	107457
A46B	0.2074	-0.4441	2	527	145992
A46D	0.3501	-0.6205	2	367	35216
A47B	-0.3419	-0.1586	6	609	534219
A47C	-0.3323	-0.2364	6	578	371260
A47D	-0.5589	-0.2694	6	379	46809
A47F	-0.337	-0.1816	6	551	227892
A47G	-0.0638	-0.3162	6	610	489965
A47H	-0.2769	-0.2827	6	431	41507
A47J	0.4814	0.1358	7	595	482621
A47K	0.0803	-0.0564	6	570	350745
A47L	0.0978	-0.079	6	602	365506
A61B	-0.2117	-0.2434	1	631	2640665
A61C	0.1716	-0.2825	2	555	294498
A61D	0.4257	-0.3657	8	429	74222
A61F	0.0942	-0.4069	2	629	1489164
A61G	-0.2968	-0.1578	6	558	356757
A61H	-0.1723	-0.3119	6	565	444841
A61J	0.3381	-0.2448	2	536	412313
A61K	0.9641	-0.2041	3	630	12935138
A61L	0.3987	-0.178	2	627	1733401
A61M	0.1041	-0.1964	2	613	1425675
A61N	-0.0884	-0.3203	1	572	588847
A61P	1.0969	-0.2047	3	568	8946797
A61Q	1.0454	-0.2794	3	501	1621019
A62B	-0.2108	-0.1059	6	569	210383
A62C	-0.2118	0.2796	6	588	231356
A62D	0.816	0.1702	3	492	135412
A63B	-0.5206	-0.2344	6	605	360584
A63C	-0.4048	-0.1527	6	504	69404
A63D	-0.8399	-0.4318	6	329	11563
A63F	-0.9013	-0.3018	1	538	338977
A63G	-0.8474	-0.0023	6	408	39803
A63H	-0.7008	-0.2128	6	586	158636
A63J	-0.8053	-0.1334	6	381	24544
A63K	-0.6664	-0.2286	6	229	4667
A99Z	-0.3119	-0.1702	1	69	134
B01B	0.8056	0.4549	3	355	13851
B01D	0.5573	0.2351	3	643	3559564
B01F	0.6326	0.1105	3	605	902639
B01J	0.7025	0.1603	3	631	3645830
B01L	0.4331	-0.0046	3	547	436542
B02B	1.0081	0.0637	3	386	28814
B02C	0.6742	0.0868	3	589	487935
B03B	0.9144	0.1922	3	486	123255
B03C	0.618	0.2347	3	574	206594
B03D	1.0452	0.2089	3	386	54178
B04B	0.6153	0.1875	3	519	87917
B04C	0.7915	0.3801	3	477	70949
B05B	0.1727	0.0638	2	629	795654
B05C	0.1832	-0.3181	2	603	556318
B05D	0.2567	-0.2354	2	631	1109426
B06B	-0.4523	0.0013	1	570	152446
B07B	0.741	0.086	3	570	315419
B07C	-0.0153	-0.1834	1	562	193956
B08B	0.2317	0.0378	3	635	1367136
B09B	0.7364	0.2023	3	578	389988
B09C	0.9718	0.2183	3	386	113692
B21B	0.2187	0.2074	5	547	298934
B21C	0.1291	0.1167	5	565	329100
B21D	0.0574	0.0861	5	621	682114
B21F	-0.0064	-0.0897	5	520	126875
B21G	0.0515	-0.1474	5	243	10709
B21H	0.078	0.2855	5	399	51805
B21J	0.0736	0.2418	5	510	176324
B21K	0.0337	0.2774	5	483	143178
B21L	-0.1483	0.0293	5	221	8041
