id,x,y,cluster,weight<Links>,weight<Total link strength>,label,score<AI2015>,Weight<AICount2015>,score<AI2016>,Weight<AICount2016>,score<AI2017>,Weight<AICount2017>,score<AI2018>,Weight<AICount2018>,score<AI2019>,Weight<AICount2019>,score<AI2020>,Weight<AICount2020>,score<AI2021>,Weight<AICount2021>,score<AI2022>,Weight<AICount2022>,score<AI2023>,Weight<AICount2023>,score<AI2024>,Weight<AICount2024>
A01B,0.1331,0.3283,3,571,249487,SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS. DETAILS. OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS. IN GENERAL (making or covering furrows or holes for sowing. planting or manuring A01C0005000000;machines for harvesting root crops A01D;mowers convertible to soil working apparatus or capable of soil working A01D0042040000;mowers combined with soil working implements A01D0043120000;soil working for engineering purposes E01. E02. E21),44,44,82,82,115,115,147,147,192,192,245,245,233,233,257,257,205,205,107,107
A01C,0.5647,0.1851,3,555,336554,PLANTING; SOWING; FERTILISING (parts. details or accessories of agricultural machines or implements. in general A01B0051000000-A01B0075000000),46,46,103,103,161,161,187,187,195,195,304,304,328,328,364,364,356,356,160,160
A01D,0.1972,0.2668,3,557,221413,HARVESTING; MOWING,165,165,186,186,384,384,533,533,733,733,636,636,648,648,659,659,695,695,387,387
A01F,0.511,0.1722,3,499,119441,THRESHING (combines A01D0041000000); BALING OF STRAW. HAY OR THE LIKE; STATIONARY APPARATUS OR HAND TOOLS FOR FORMING OR BINDING STRAW. HAY OR THE LIKE INTO BUNDLES; CUTTING OF STRAW. HAY OR THE LIKE; STORING AGRICULTURAL OR HORTICULTURAL PRODUCE (arrangements for making or setting stacks in connection with harvesting A01D0085000000),8,8,11,11,21,21,19,19,30,30,16,16,18,18,18,18,22,22,10,10
A01G,0.3828,0.0977,3,624,806651,HORTICULTURE; CULTIVATION OF VEGETABLES. FLOWERS. RICE. FRUIT. VINES. HOPS OR SEAWEED; FORESTRY; WATERING (picking of fruits. vegetables. hops or the like A01D0046000000; propagating unicellular algae C12N0001120000),83,83,193,193,312,312,498,498,530,530,652,652,695,695,634,634,517,517,279,279
A01H,1.395,-0.2118,3,425,382750,NEW PLANTS OR PROCESSES FOR OBTAINING THEM; PLANT REPRODUCTION BY TISSUE CULTURE TECHNIQUES,8,8,14,14,25,25,32,32,55,55,44,44,43,43,52,52,40,40,29,29
A01J,0.8072,-0.067,3,440,40235,MANUFACTURE OF DAIRY PRODUCTS (for chemical matters. see subclass A23C),26,26,39,39,17,17,44,44,22,22,25,25,41,41,18,18,10,10,6,6
A01K,0.276,-0.2126,8,626,729507,ANIMAL HUSBANDRY; AVICULTURE; APICULTURE; PISCICULTURE; FISHING; REARING OR BREEDING ANIMALS. NOT OTHERWISE PROVIDED FOR; NEW BREEDS OF ANIMALS,140,140,246,246,485,485,461,461,480,480,641,641,614,614,533,533,469,469,215,215
A01L,0.4046,-0.3682,8,224,3084,SHOEING OF ANIMALS,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A01M,0.0871,0.0777,3,596,308910,CATCHING. TRAPPING OR SCARING OF ANIMALS (appliances for catching swarms or drone-catching A01K0057000000;  fishing A01K0069000000-A01K0097000000;  biocides. pest repellants or attractants A01N); APPARATUS FOR THE DESTRUCTION OF NOXIOUS ANIMALS OR NOXIOUS PLANTS,138,138,336,336,790,790,1023,1023,970,970,1422,1422,1084,1084,861,861,919,919,397,397
A01N,1.0107,-0.1283,3,602,1841877,PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF  (preservation of food or foodstuff A23); BIOCIDES. e.g. AS DISINFECTANTS. AS PESTICIDES OR AS HERBICIDES  (preparations for medical. dental or toiletry purposes which kill or prevent the growth or proliferation of unwanted organisms A61K); PEST REPELLANTS OR ATTRACTANTS; PLANT GROWTH REGULATORS,3,3,30,30,27,27,27,27,35,35,43,43,35,35,32,32,21,21,15,15
A01P,1.188,-0.1257,3,457,631914,BIOCIDAL. PEST REPELLANT. PEST ATTRACTANT OR PLANT GROWTH REGULATORY ACTIVITY OF CHEMICAL COMPOUNDS OR PREPARATIONS,3,3,14,14,13,13,11,11,17,17,27,27,12,12,15,15,9,9,8,8
A21B,0.9408,0.178,7,429,57390,BAKERS' OVENS; MACHINES OR EQUIPMENT FOR BAKING (domestic baking equipment A47J0037000000),0,0,2,2,6,6,11,11,14,14,18,18,7,7,6,6,6,6,6,6
A21C,1.1273,-0.0513,3,435,82352,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS; HANDLING BAKED ARTICLES MADE FROM DOUGH,10,10,14,14,15,15,28,28,22,22,18,18,24,24,17,17,9,9,3,3
A21D,1.4734,-0.1436,3,404,180882,TREATMENT OF FLOUR OR DOUGH FOR BAKING. e.g. BY ADDITION OF MATERIALS; BAKING; BAKERY PRODUCTS (preservation of flour or dough before baking A23B0040000000;preservation of bakery products A23B0045000000),1,1,0,0,2,2,1,1,5,5,8,8,3,3,6,6,1,1,1,1
A22B,0.6453,-0.2086,3,339,21675,SLAUGHTERING,8,8,9,9,7,7,8,8,15,15,7,7,19,19,17,17,20,20,2,2
A22C,0.837,-0.2087,3,485,112311,PROCESSING MEAT. POULTRY. OR FISH (preserving A23B;obtaining protein compositions for foodstuffs A23J0001000000;fish. meat or poultry preparations A23L;disintegrating. e.g. chopping meat. B02C0018000000;preparation of proteins C07K0001000000),6,6,12,12,31,31,32,32,31,31,19,19,37,37,43,43,32,32,11,11
A23B,1.1459,-0.0721,3,519,225125,PRESERVATION OF FOODS. FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES; CHEMICAL RIPENING OF FRUIT OR VEGETABLES,1,1,6,6,6,6,7,7,7,7,8,8,12,12,6,6,8,8,5,5
