id,x,y,cluster,weight<Links>,weight<Total link strength>,label
A01B,0.1331,0.3283,3,571,249487,SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS. DETAILS. OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS. IN GENERAL (making or covering furrows or holes for sowing. planting or manuring A01C0005000000;machines for harvesting root crops A01D;mowers convertible to soil working apparatus or capable of soil working A01D0042040000;mowers combined with soil working implements A01D0043120000;soil working for engineering purposes E01. E02. E21)
A01C,0.5647,0.1851,3,555,336554,PLANTING; SOWING; FERTILISING (parts. details or accessories of agricultural machines or implements. in general A01B0051000000-A01B0075000000)
A01D,0.1972,0.2668,3,557,221413,HARVESTING; MOWING
A01F,0.511,0.1722,3,499,119441,THRESHING (combines A01D0041000000); BALING OF STRAW. HAY OR THE LIKE; STATIONARY APPARATUS OR HAND TOOLS FOR FORMING OR BINDING STRAW. HAY OR THE LIKE INTO BUNDLES; CUTTING OF STRAW. HAY OR THE LIKE; STORING AGRICULTURAL OR HORTICULTURAL PRODUCE (arrangements for making or setting stacks in connection with harvesting A01D0085000000)
A01G,0.3828,0.0977,3,624,806651,HORTICULTURE; CULTIVATION OF VEGETABLES. FLOWERS. RICE. FRUIT. VINES. HOPS OR SEAWEED; FORESTRY; WATERING (picking of fruits. vegetables. hops or the like A01D0046000000; propagating unicellular algae C12N0001120000)
A01H,1.395,-0.2118,3,425,382750,NEW PLANTS OR PROCESSES FOR OBTAINING THEM; PLANT REPRODUCTION BY TISSUE CULTURE TECHNIQUES
A01J,0.8072,-0.067,3,440,40235,MANUFACTURE OF DAIRY PRODUCTS (for chemical matters. see subclass A23C)
A01K,0.276,-0.2126,8,626,729507,ANIMAL HUSBANDRY; AVICULTURE; APICULTURE; PISCICULTURE; FISHING; REARING OR BREEDING ANIMALS. NOT OTHERWISE PROVIDED FOR; NEW BREEDS OF ANIMALS
A01L,0.4046,-0.3682,8,224,3084,SHOEING OF ANIMALS
A01M,0.0871,0.0777,3,596,308910,CATCHING. TRAPPING OR SCARING OF ANIMALS (appliances for catching swarms or drone-catching A01K0057000000;  fishing A01K0069000000-A01K0097000000;  biocides. pest repellants or attractants A01N); APPARATUS FOR THE DESTRUCTION OF NOXIOUS ANIMALS OR NOXIOUS PLANTS
A01N,1.0107,-0.1283,3,602,1841877,PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF  (preservation of food or foodstuff A23); BIOCIDES. e.g. AS DISINFECTANTS. AS PESTICIDES OR AS HERBICIDES  (preparations for medical. dental or toiletry purposes which kill or prevent the growth or proliferation of unwanted organisms A61K); PEST REPELLANTS OR ATTRACTANTS; PLANT GROWTH REGULATORS
A01P,1.188,-0.1257,3,457,631914,BIOCIDAL. PEST REPELLANT. PEST ATTRACTANT OR PLANT GROWTH REGULATORY ACTIVITY OF CHEMICAL COMPOUNDS OR PREPARATIONS
A21B,0.9408,0.178,7,429,57390,BAKERS' OVENS; MACHINES OR EQUIPMENT FOR BAKING (domestic baking equipment A47J0037000000)
A21C,1.1273,-0.0513,3,435,82352,MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS; HANDLING BAKED ARTICLES MADE FROM DOUGH
A21D,1.4734,-0.1436,3,404,180882,TREATMENT OF FLOUR OR DOUGH FOR BAKING. e.g. BY ADDITION OF MATERIALS; BAKING; BAKERY PRODUCTS (preservation of flour or dough before baking A23B0040000000;preservation of bakery products A23B0045000000)
A22B,0.6453,-0.2086,3,339,21675,SLAUGHTERING
A22C,0.837,-0.2087,3,485,112311,PROCESSING MEAT. POULTRY. OR FISH (preserving A23B;obtaining protein compositions for foodstuffs A23J0001000000;fish. meat or poultry preparations A23L;disintegrating. e.g. chopping meat. B02C0018000000;preparation of proteins C07K0001000000)
A23B,1.1459,-0.0721,3,519,225125,PRESERVATION OF FOODS. FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES; CHEMICAL RIPENING OF FRUIT OR VEGETABLES
A23C,1.4185,-0.1514,3,446,281890,DAIRY PRODUCTS. e.g. MILK. BUTTER OR CHEESE; MILK OR CHEESE SUBSTITUTES; MAKING OR TREATMENT THEREOF (preservation thereof A23B0011000000)
A23D,1.5821,-0.1792,3,286,162609,EDIBLE OILS OR FATS. e.g. MARGARINES. SHORTENINGS OR COOKING OILS (preservation thereof A23B0020000000;production. refinement or preservation of animal or vegetable fats or oils C11B. C11C)
A23F,1.3019,-0.0987,3,402,125950,COFFEE; TEA; THEIR SUBSTITUTES; MANUFACTURE. PREPARATION. OR INFUSION THEREOF
A23G,1.2886,-0.1284,3,512,296299,COCOA; COCOA PRODUCTS. e.g. CHOCOLATE; SUBSTITUTES FOR COCOA OR COCOA PRODUCTS; CONFECTIONERY; CHEWING GUM; ICE-CREAM; PREPARATION THEREOF
A23J,1.5237,-0.2143,3,343,173661,PROTEIN COMPOSITIONS FOR FOODSTUFFS; WORKING-UP PROTEINS FOR FOODSTUFFS; PHOSPHATIDE COMPOSITIONS FOR FOODSTUFFS
A23K,1.3561,-0.169,3,453,472149,FEEDING-STUFFS SPECIALLY ADAPTED FOR ANIMALS; METHODS SPECIALLY ADAPTED FOR PRODUCTION THEREOF
A23L,1.2221,-0.1205,3,599,1838570,FOODS. FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES. NOT OTHERWISE PROVIDED FOR; PREPARATION OR TREATMENT THEREOF (preservation thereof A23B)
A23N,0.9623,0.0257,3,456,149980,MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT. VEGETABLES. OR FLOWER BULBS IN BULK. NOT OTHERWISE PROVIDED FOR; PEELING VEGETABLES OR FRUIT IN BULK; APPARATUS FOR PREPARING ANIMAL FEEDING-STUFFS (machines for cutting straw or fodder A01F0029000000;disintegrating. e.g. shredding. B02C;severing. e.g. cutting. splitting. slicing. B26B. B26D)
A23P,1.3208,-0.1311,3,454,219990,SHAPING OR WORKING OF FOODSTUFFS. NOT FULLY COVERED BY A SINGLE OTHER SUBCLASS
A24B,0.9598,-0.3199,2,442,93301,MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING; TOBACCO; SNUFF
A24C,0.6592,-0.424,2,387,54652,MACHINES FOR MAKING CIGARS OR CIGARETTES
A24D,0.7833,-0.4145,2,396,86417,CIGARS; CIGARETTES; TOBACCO SMOKE FILTERS; MOUTHPIECES FOR CIGARS OR CIGARETTES; MANUFACTURE OF TOBACCO SMOKE FILTERS OR MOUTHPIECES
A24F,0.4514,-0.2643,2,496,123432,SMOKERS’ REQUISITES; MATCH BOXES; SIMULATED SMOKING DEVICES (inhaling appliances for medical purposes. shaped like cigars. cigarettes or pipes A61M0015060000)
A41B,0.1372,-0.8524,2,424,109547,SHIRTS; UNDERWEAR; BABY LINEN; HANDKERCHIEFS
A41C,0.0949,-0.9514,2,285,31323,CORSETS; BRASSIÈRES
A41D,0.0103,-0.6379,2,572,361758,OUTERWEAR; PROTECTIVE GARMENTS; ACCESSORIES
A41F,-0.1102,-0.8503,2,369,41318,GARMENT FASTENINGS; SUSPENDERS
A41G,0.1629,-0.656,2,385,22792,ARTIFICIAL FLOWERS; WIGS; MASKS; FEATHERS
A41H,0.0371,-0.7884,2,398,64578,APPLIANCES OR METHODS FOR MAKING CLOTHES. e.g. FOR DRESS-MAKING OR FOR TAILORING. NOT OTHERWISE PROVIDED FOR
A42B,-0.3107,-0.6224,2,461,85941,HATS; HEAD COVERINGS  (headbands A41D0020000000; head-scarves A41D0023000000)
