id	x	y	cluster	weight<Links>	weight<Total link strength>
A00G	0.449	-0.2211	3	3	3
A00N	1.372	0.1829	5	4	4
A01A	0.7293	0.0061	5	14	22
A01B	-0.1844	-0.224	1	598	249567
A01C	0.2805	-0.1431	1	584	336896
A01D	-0.1029	-0.5089	1	588	221584
A01E	0.6606	0.0479	5	8	8
A01F	0.1071	-0.348	1	525	119581
A01G	0.1423	-0.2426	1	693	808818
A01H	1.2629	0.2521	5	472	383076
A01I	0.7436	-0.0911	5	1	2
A01J	0.8215	-0.2754	5	469	40304
A01K	0.5507	-0.0664	5	718	730521
A01L	0.4566	-0.0248	5	226	3086
A01M	0.0298	-0.3098	4	624	309013
A01N	1.0163	0.0929	5	718	1843797
A01O	-0.1281	-0.7251	1	1	2
A01P	1.0523	0.0648	5	475	632001
A01Q	0.1356	0.4012	5	15	17
A01R	-0.1993	0.3689	2	23	57
A01S	0.0263	0.7485	2	21	37
A01V	1.5014	0.2221	5	2	2
A01W	1.0941	0.2259	5	13	22
A01X	0.7433	-0.0908	5	1	2
A02B	0.0913	-0.0335	4	13	15
A02C	0.3148	-0.3242	4	9	13
A02D	0.237	-0.2452	3	10	10
A02F	-0.0734	0.8698	2	1	1
A02G	-0.6373	0.1247	2	1	1
A02H	0.7694	0.4045	5	13	17
A02I	0.084	-0.466	4	1	1
A02J	-0.1734	0.14	2	5	5
A02K	-0.3465	0.109	1	10	23
A02L	1.4006	-0.186	5	1	1
A02M	-0.687	0.962	2	4	4
A02N	0.331	0.1262	3	14	14
A02P	-0.9297	0.1531	1	8	13
A03A	0.6652	-0.8023	4	1	1
A03B	-0.0735	0.2002	4	18	31
A03C	-0.5572	-0.2566	1	1	1
A03D	-0.1558	-0.8913	4	4	4
A03F	-0.0696	0.4969	2	12	20
A03G	-0.1534	0.7139	2	7	8
A03H	-0.4286	0.3837	2	6	10
A03K	-0.3335	0.9298	2	14	43
A03L	-0.5505	1.0729	2	4	9
A03M	-0.5871	1.2113	2	4	7
A04B	-0.407	0.8096	2	47	102
A04C	-0.2604	0.0054	3	3	3
