,id,x,y,cluster,weight<Links>,weight<Total link strength>,label
3,A01B,-0.1844,-0.224,1,598,249567,SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS， DETAILS， OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS， IN GENERAL (making or covering furrows or holes for sowing， planting or manuring A01C0005000000;machines for harvesting root crops A01D;mowers convertible to soil working apparatus or capable of soil working A01D0042040000;mowers combined with soil working implements A01D0043120000;soil working for engineering purposes E01， E02， E21)
4,A01C,0.2805,-0.1431,1,584,336896,PLANTING; SOWING; FERTILISING (parts， details or accessories of agricultural machines or implements， in general A01B0051000000-A01B0075000000)
5,A01D,-0.1029,-0.5089,1,588,221584,HARVESTING; MOWING
7,A01F,0.1071,-0.348,1,525,119581,THRESHING (combines A01D0041000000); BALING OF STRAW， HAY OR THE LIKE; STATIONARY APPARATUS OR HAND TOOLS FOR FORMING OR BINDING STRAW， HAY OR THE LIKE INTO BUNDLES; CUTTING OF STRAW， HAY OR THE LIKE; STORING AGRICULTURAL OR HORTICULTURAL PRODUCE (arrangements for making or setting stacks in connection with harvesting A01D0085000000)
8,A01G,0.1423,-0.2426,1,693,808818,HORTICULTURE; CULTIVATION OF VEGETABLES， FLOWERS， RICE， FRUIT， VINES， HOPS OR SEAWEED; FORESTRY; WATERING (picking of fruits， vegetables， hops or the like A01D0046000000; propagating unicellular algae C12N0001120000)
9,A01H,1.2629,0.2521,5,472,383076,NEW PLANTS OR PROCESSES FOR OBTAINING THEM; PLANT REPRODUCTION BY TISSUE CULTURE TECHNIQUES
11,A01J,0.8215,-0.2754,5,469,40304,MANUFACTURE OF DAIRY PRODUCTS (for chemical matters， see subclass A23C)
12,A01K,0.5507,-0.0664,5,718,730521,ANIMAL HUSBANDRY; AVICULTURE; APICULTURE; PISCICULTURE; FISHING; REARING OR BREEDING ANIMALS， NOT OTHERWISE PROVIDED FOR; NEW BREEDS OF ANIMALS
13,A01L,0.4566,-0.0248,5,226,3086,SHOEING OF ANIMALS
14,A01M,0.0298,-0.3098,4,624,309013,CATCHING， TRAPPING OR SCARING OF ANIMALS (appliances for catching swarms or drone-catching A01K0057000000;  fishing A01K0069000000-A01K0097000000;  biocides， pest repellants or attractants A01N); APPARATUS FOR THE DESTRUCTION OF NOXIOUS ANIMALS OR NOXIOUS PLANTS
15,A01N,1.0163,0.0929,5,718,1843797,PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF  (preservation of food or foodstuff A23); BIOCIDES， e.g. AS DISINFECTANTS， AS PESTICIDES OR AS HERBICIDES  (preparations for medical， dental or toiletry purposes which kill or prevent the growth or proliferation of unwanted organisms A61K); PEST REPELLANTS OR ATTRACTANTS; PLANT GROWTH REGULATORS
